Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
05/10/19-11:46:58:822,4,1032.00,18784.00,8053.27,17924.00,17323.00,24940.00,6938.00,11964.00,8556.00,
05/10/19-11:46:58:822,4,1032.00,18784.00,8055.83,17936.00,17329.00,24940.00,6944.00,11954.00,8512.00,
05/10/19-11:46:58:822,4,900.00,16453.00,6618.81,15741.00,15179.00,21860.00,6128.00,10470.00,7493.00,
05/10/19-11:46:58:822,4,1032.00,18787.00,7924.12,17929.00,17331.00,24944.00,7021.00,11991.00,8600.00,
05/10/19-11:46:58:822,4,1032.00,18784.00,8050.19,17927.00,17328.00,24942.00,7012.00,11986.00,8590.00,
05/10/19-11:46:58:822,4,1032.00,18786.00,8055.32,17920.00,17332.00,24943.00,7004.00,11985.00,8571.00,
05/10/19-11:46:58:822,4,1032.00,18784.00,8056.34,17913.00,17328.00,24945.00,6989.00,11983.00,8573.00,
05/10/19-11:46:58:822,4,1032.00,18788.00,8056.34,17924.00,17337.00,24943.00,6983.00,11977.00,8561.00,
05/10/19-11:46:58:822,4,1032.00,18785.00,8056.34,17945.00,17343.00,24942.00,6975.00,11974.00,8557.00,
05/10/19-11:46:58:822,4,1032.00,18790.00,8056.34,17940.00,17319.00,24941.00,6971.00,11963.00,8552.00,
05/10/19-11:46:58:822,4,1032.00,18784.00,8056.34,17938.00,17341.00,24945.00,6961.00,11965.00,8552.00,
05/10/19-11:46:58:822,4,1032.00,18787.00,8056.34,17945.00,17326.00,24942.00,6955.00,11962.00,8552.00,
05/10/19-11:46:58:822,4,1032.00,18787.00,8056.34,17944.00,17341.00,24943.00,6962.00,11969.00,8552.00,
