Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
06/28/19-16:35:13:339,3,969.00,16968.00,8235.71,18076.00,18457.00,24407.00,6830.00,12728.00,8806.00,
06/28/19-16:35:13:339,3,970.00,16969.00,8238.28,18029.00,18535.00,24500.00,6822.00,12723.00,8768.00,
06/28/19-16:35:13:339,3,973.00,16969.00,8240.84,17987.00,18525.00,24252.00,6822.00,12727.00,8758.00,
06/28/19-16:35:13:339,3,971.00,16968.00,8240.33,17884.00,18099.00,24395.00,6815.00,12718.00,8768.00,
06/28/19-16:35:13:339,3,973.00,16968.00,8240.84,17543.00,17981.00,24435.00,6832.00,12728.00,8761.00,
06/28/19-16:35:13:339,3,973.00,16970.00,8240.84,17837.00,17302.00,24434.00,6822.00,12718.00,8767.00,
06/28/19-16:35:13:339,3,972.00,16968.00,8240.84,17781.00,17670.00,24461.00,6819.00,12723.00,8767.00,
06/28/19-16:35:13:339,3,972.00,16968.00,8240.84,18381.00,17360.00,24290.00,6822.00,12725.00,8767.00,
06/28/19-16:35:13:339,3,975.00,16971.00,8240.84,17580.00,17884.00,24299.00,6824.00,12726.00,8767.00,
06/28/19-16:35:13:556,3,972.00,16968.00,8237.76,17925.00,18074.00,24435.00,6824.00,12723.00,8784.00,
06/28/19-16:35:13:556,3,970.00,16969.00,8236.74,17087.00,18435.00,24331.00,6827.00,12724.00,8798.00,
06/28/19-16:35:13:556,3,975.00,16968.00,8236.74,17686.00,17569.00,24488.00,6823.00,12721.00,8802.00,
06/28/19-16:35:13:556,3,971.00,16968.00,8236.74,18453.00,18113.00,24313.00,6821.00,12727.00,8792.00,
06/28/19-16:35:13:556,3,972.00,16969.00,8236.23,18042.00,17794.00,24334.00,6820.00,12723.00,8775.00,
